lea-number,discount,cost
10,80,124668
20,80,85380
30,80,44268
40,90,44268
50,80,44268
60,80,44268
70,80,44268
80,90,75624
90,90,91644
100,90,99204
110,80,228216
111,60,85380
120,80,124668
130,60,291300
132,90,88380
140,80,124668
150,60,44268
160,70,88380
170,90,26856
180,80,124668
181,80,47436
182,80,85380
190,80,132144
200,90,76656
210,80,75624
220,80,107604
230,80,107748
240,90,44268
241,90,44268
250,80,75624
260,80,291300
270,70,44268
280,70,75624
290,80,124668
291,90,51192
292,90,51192
300,70,88380
310,90,91644
320,80,220692
330,90,107748
340,80,220692
350,80,88380
360,80,228216
370,80,26856
380,80,26856
390,80,107748
400,90,91644
410,80,290940
420,90,91644
421,80,44268
422,90,26856
430,80,230292
440,80,75624
450,80,107748
460,90,44268
470,80,91644
480,90,26856
490,60,290940
491,60,140904
500,80,44268
510,70,290220
520,90,52428
530,80,107748
540,90,132144
550,80,107748
560,80,201480
570,80,50700
580,90,44268
590,80,106164
600,80,703116
610,80,50580
620,90,52428
630,70,124668
640,80,230292
650,80,228216
660,90,44268
670,60,107748
680,60,88380
681,50,196176
690,80,52428
700,80,75624
710,80,124668
720,80,75624
730,80,75624
740,80,196176
750,80,44268
760,80,191628
761,90,88380
770,90,75624
780,90,228216
790,80,107748
800,80,228216
810,90,107748
820,90,91644
821,80,52428
830,90,75624
840,80,88380
850,80,75624
860,80,107748
861,70,51192
862,80,44268
870,80,44268
880,80,44268
890,90,26856
900,60,196176
910,90,44268
920,60,654624
930,90,75624
940,90,44268
950,90,75624
960,80,124668
970,90,132144
980,80,107748
990,80,88380
995,80,44268
01D,50,15768
11A,60,15768
12A,20,15768
19B,70,15768
34B,90,15768
34D,90,15768
34H,40,15768
36C,70,15768
41F,60,15768
41G,60,15768
45A,50,15768
49E,40,15768
60F,80,15768
60H,40,15768
32B,90,15768
60I,60,15768
60Q,50,15768
60U,90,15768
60V,90,15768
60Y,40,15768
61J,40,15768
61K,60,15768
65A,40,15768
81A,60,15768
81B,70,15768
92B,80,15768
92E,50,15768
92L,90,15768
92S,50,15768
92T,40,15768
92Y,40,15768
92X,40,15768
96F,60,15768
298,90,15768
298,90,15768
92G,50,21384
13A,80,29544
32N,80,29544
49B,50,29544
90A,80,29544
55A,60,50580
60D,60,50580
11B,60,11100
92R,50,11100
60P,80,11100
60K,50,11100
60A,40,11100
60M,40,11100
06B,90,11100
65C,90,11100
11K,50,11100
41C,90,11100
65D,40,11100
60L,80,11100
92D,20,11100
92K,20,11100
78B,90,11100
24C,90,11100
49D,90,11100
60B,90,11100
95A,70,11100
10A,70,11100
32K,40,11712
32M,90,11712
32P,80,11712
19C,40,11712
60N,90,11712
73A,60,12324
24N,60,12324
39B,60,12324
07A,50,12324
27A,60,12324
87A,70,13764
61L,20,17304
13C,60,17304
36B,50,17304
60S,40,17304
32C,90,17304
60T,20,17304
67B,90,17580
91B,90,17580
08A,90,17580
26B,50,17580
26C,60,17580
298,90,17580
68A,50,17580
92P,80,17580
93A,90,17580
97D,90,17580
11D,70,21684
88A,70,111576
60J,80,21744
32D,40,21744
01B,40,21744
94Z,70,21756
69A,70,21756
76N,40,21756
33A,80,21756
58B,50,21756
98B,60,21756
51A,60,30252
19A,60,30252
32L,40,51192
73B,50,52428
64A,80,52428